RMSD_BR,RMSD_AR,#atomsAligned,Alignment_score,Ref_Ligand,Aligned_Ligand
0.0,0.0,38,5.0,control_cyc1,cyclica1
0.0,0.0,57,5.0,control_cyc2,cyclica2
0.0009178671170957386,0.0009178671170957386,3,0.0,fda477,p1_Z3741126686
0.004604510497301817,0.004604510497301817,2,0.0,fda480,p1_Z3741126686
0.0065066395327448845,0.0065066395327448845,2,0.0,fda480,p1_002963694427
0.008600142784416676,0.008600142784416676,3,0.0,fda477,p1_Z3814570540
0.00972590409219265,0.00972590409219265,2,0.0,fda480,p1_Z2877643040
0.011104686185717583,0.011104686185717583,2,0.0,fda480,p1_Z3814570540
0.012507828883826733,0.012507828883826733,2,5.0,fda480,fda489
0.012721517123281956,0.012721517123281956,3,0.0,fda477,p1_Z2877643040
0.01325908862054348,0.01325908862054348,3,0.0,fda477,p1_002963694427
0.018325353041291237,0.018325353041291237,2,5.0,fda446,fda480
0.06021363288164139,0.06021363288164139,4,0.0,fda477,p1_003541224761
0.06375700235366821,0.06375700235366821,3,5.0,fda477,fda482
0.07606319338083267,0.07606319338083267,4,0.0,fda477,p1_Z3316686839
0.08389343321323395,0.08389343321323395,3,0.0,control_fda1,p1_Z2877643040
0.08652355521917343,0.08652355521917343,3,0.0,control_fda1,p1_Z3814570540
0.08883431553840637,0.08883431553840637,3,5.0,fda446,fda477
0.09380670636892319,0.09380670636892319,3,0.0,control_fda1,p1_002963694427
0.09460414201021194,0.09460414201021194,3,0.0,control_fda1,p1_Z3741126686
0.11407595127820969,0.11407595127820969,3,5.0,fda445,fda480
0.1280217170715332,0.1280217170715332,3,0.0,fda481,p1_Z3814570540
0.13090306520462036,0.13090306520462036,3,0.0,fda481,p1_Z2877643040
0.13101324439048767,0.13101324439048767,3,0.0,fda481,p1_Z3741126686
0.13569094240665436,0.13569094240665436,4,5.0,fda477,fda490
0.14198721945285797,0.14198721945285797,3,0.0,fda481,p1_002963694427
0.17273391783237457,0.17273391783237457,3,5.0,control_fda1,fda446
0.17605359852313995,0.17605359852313995,5,5.0,fda421,fda482
0.21538616716861725,0.21538616716861725,3,5.0,fda446,fda481
0.2543295621871948,0.2543295621871948,3,5.0,fda480,fda495
0.2624236047267914,0.2624236047267914,3,0.0,fda480,p1_005444919692
0.3001464903354645,0.3001464903354645,4,5.0,fda440,fda477
0.35702481865882874,0.35702481865882874,4,5.0,control_fda1,fda413
0.35929062962532043,0.35929062962532043,4,5.0,control_fda1,fda477
0.3779013752937317,0.3779013752937317,4,0.0,fda481,p1_005444919692
0.388139009475708,0.388139009475708,2,5.0,fda480,fda496
0.3931750953197479,0.3931750953197479,3,5.0,fda481,fda496
0.40528926253318787,0.40528926253318787,4,0.0,control_fda1,p1_003541224761
0.42354169487953186,0.42354169487953186,4,0.0,fda477,p1_004482988570
0.4265100359916687,0.4265100359916687,3,5.0,fda474,fda480
0.43050265312194824,0.43050265312194824,4,0.0,fda477,p1_004668541803
0.43271324038505554,0.43271324038505554,4,0.0,fda477,p1_001984536278
0.44718143343925476,0.44718143343925476,3,5.0,control_fda1,fda496
0.4473643898963928,0.4473643898963928,4,0.0,fda477,p1_004510776337
0.45106786489486694,0.45106786489486694,4,0.0,fda477,p1_Z3203601429
0.4514615535736084,0.4514615535736084,4,0.0,fda477,p1_Z2915627128
0.45305219292640686,0.45305219292640686,4,0.0,fda477,p1_Z4199196925
0.45308753848075867,0.45308753848075867,4,0.0,fda477,p1_Z2719856402
0.45996999740600586,0.45996999740600586,4,0.0,fda477,p1_Z3492898927
0.46751612424850464,0.46751612424850464,4,0.0,fda477,p1_Z3741117286
0.47990086674690247,0.47990086674690247,4,0.0,control_fda1,p1_Z4199196925
0.4851323366165161,0.4851323366165161,3,0.0,fda480,p1_Z4199196925
0.5049105286598206,0.5049105286598206,3,0.0,fda480,p1_003031949588
0.5082765817642212,0.5082765817642212,3,5.0,control_fda1,fda459
0.5163713693618774,0.5163713693618774,3,5.0,fda477,fda496
0.5209102630615234,0.5209102630615234,4,0.0,fda477,p1_Z4924721782
0.5240670442581177,0.5240670442581177,3,5.0,control_fda1,fda489
0.5262283086776733,0.5262283086776733,4,5.0,fda477,fda486
0.530849039554596,0.530849039554596,3,5.0,fda477,fda489
0.5336936712265015,0.5336936712265015,3,5.0,fda459,fda477
0.5364851355552673,0.5364851355552673,4,5.0,fda477,fda487
0.5531466603279114,0.5531466603279114,3,5.0,fda404,fda480
0.5572099089622498,0.5572099089622498,4,5.0,fda477,fda483
0.5580675005912781,0.5580675005912781,3,5.0,fda482,fda496
0.5708380341529846,0.5708380341529846,4,0.0,fda481,p1_003541224761
0.5717241764068604,0.5717241764068604,3,5.0,fda480,fda494
0.576895534992218,0.576895534992218,4,5.0,fda477,fda488
0.5785509347915649,0.5785509347915649,4,5.0,control_fda1,fda494
0.5833807587623596,0.5833807587623596,4,0.0,fda477,p1_006416992917
0.5951651334762573,0.5951651334762573,3,5.0,fda459,fda481
0.5975551605224609,0.5975551605224609,3,5.0,fda470,fda480
0.598199188709259,0.598199188709259,3,5.0,fda405,fda480
0.5995272994041443,0.5995272994041443,4,0.0,fda477,p1_Z4263727698
0.6012994050979614,0.6012994050979614,3,0.0,fda480,p1_Z4257896878
0.6060473918914795,0.6060473918914795,4,5.0,fda432,fda477
0.6071765422821045,0.6071765422821045,4,5.0,fda469,fda480
0.6115400791168213,0.6115400791168213,4,5.0,fda477,fda481
0.6118943691253662,0.6118943691253662,4,5.0,fda442,fda480
0.6215859055519104,0.6215859055519104,4,5.0,fda413,fda477
0.622581422328949,0.622581422328949,6,5.0,fda468,fda470
0.6234158873558044,0.6234158873558044,4,0.0,fda477,p1_003032108242
0.6284652948379517,0.6284652948379517,4,5.0,fda472,fda477
0.628610372543335,0.628610372543335,3,0.0,fda480,p1_003541224761
0.6303545236587524,0.6303545236587524,4,0.0,fda477,p1_004578743519
0.6306713223457336,0.6306713223457336,4,5.0,fda428,fda482
0.6335400938987732,0.6335400938987732,3,5.0,fda481,fda489
0.6336692571640015,0.6336692571640015,4,5.0,fda459,fda466
0.6364911794662476,0.6364911794662476,3,5.0,fda477,fda480
0.6390794515609741,0.6390794515609741,4,5.0,fda442,fda459
0.6484097242355347,0.6484097242355347,6,5.0,fda470,fda473
0.6500386595726013,0.6500386595726013,4,5.0,fda478,fda480
0.6540822982788086,0.6540822982788086,4,0.0,fda477,p1_005173185058
0.6542060375213623,0.6542060375213623,4,5.0,fda431,fda477
0.6611981391906738,0.6611981391906738,4,5.0,fda470,fda477
0.6621527075767517,0.6621527075767517,4,0.0,fda477,p1_Z1869839847
0.6665450930595398,0.6665450930595398,4,5.0,fda423,fda477
0.6677366495132446,0.6677366495132446,4,5.0,control_fda1,fda495
0.6678909659385681,0.6678909659385681,4,0.0,fda477,p1_005427790444
0.6729435324668884,0.6729435324668884,4,0.0,fda477,p1_004920218359
0.6752066016197205,0.6752066016197205,4,0.0,fda477,p1_003019560505
0.6822060942649841,0.6822060942649841,4,0.0,fda477,p1_004917269526
0.6850872039794922,0.6850872039794922,4,5.0,fda467,fda477
0.6854369640350342,0.6854369640350342,4,0.0,fda477,p1_006442234429
0.6896358728408813,0.6896358728408813,4,0.0,fda477,p1_006629960565
0.6915618181228638,0.6915618181228638,5,5.0,fda430,fda459
0.6918337941169739,0.6918337941169739,4,0.0,fda477,p1_006689806556
0.694472074508667,0.694472074508667,4,5.0,fda420,fda482
0.6971832513809204,0.6971832513809204,4,5.0,fda481,fda482
0.6994258761405945,0.6994258761405945,4,5.0,fda405,fda481
0.700289785861969,0.700289785861969,4,0.0,fda477,p1_000355903065
0.7009962797164917,0.7009962797164917,4,0.0,fda477,p1_005444919692
0.7046571373939514,0.7046571373939514,4,5.0,fda481,fda495
0.7061856985092163,0.7061856985092163,4,5.0,fda412,fda480
0.7081350684165955,0.7081350684165955,4,5.0,fda421,fda477
0.7089004516601562,0.7089004516601562,4,0.0,fda477,p1_004803566323
0.7097198963165283,0.7097198963165283,3,0.0,fda480,p1_Z4590872933
0.7098467946052551,0.7098467946052551,4,0.0,fda477,p1_004870707918
0.7115651369094849,0.7115651369094849,3,5.0,fda459,fda480
0.7121410369873047,0.7121410369873047,4,5.0,fda474,fda481
0.714631974697113,0.714631974697113,4,5.0,fda459,fda463
0.7150715589523315,0.7150715589523315,5,5.0,fda408,fda481
0.7180926203727722,0.7180926203727722,6,0.0,fda471,p1_Z3814570540
0.7238238453865051,0.7238238453865051,4,5.0,fda445,fda481
0.7254811525344849,0.7254811525344849,5,5.0,control_fda1,fda480
0.7262068390846252,0.7262068390846252,3,0.0,fda480,p1_Z3686279366
0.7282686233520508,0.7282686233520508,3,0.0,fda480,p1_Z4476704477
0.7296309471130371,0.7296309471130371,3,0.0,fda480,p1_Z4317717738
0.7300239205360413,0.7300239205360413,4,5.0,fda405,fda477
0.7356298565864563,0.7356298565864563,4,5.0,fda450,fda477
0.7372254133224487,0.7372254133224487,4,5.0,fda424,fda477
0.7389765381813049,0.7389765381813049,4,0.0,fda477,p1_006543141050
0.7412198185920715,0.7412198185920715,4,5.0,fda482,fda495
0.7429999113082886,0.7429999113082886,4,5.0,fda457,fda477
0.7447473406791687,0.7447473406791687,4,5.0,fda469,fda477
0.7456090450286865,0.7456090450286865,4,5.0,control_fda1,fda482
0.7469824552536011,0.7469824552536011,5,5.0,fda481,fda486
0.7480664849281311,0.7480664849281311,4,5.0,fda428,fda477
0.7502426505088806,0.7502426505088806,4,5.0,control_fda1,fda445
0.7543153762817383,0.7543153762817383,4,5.0,fda438,fda477
0.7548191547393799,0.7548191547393799,4,5.0,fda445,fda477
0.7548586130142212,0.7548586130142212,4,0.0,fda477,p1_Z2278538701
0.7569541931152344,0.7569541931152344,4,5.0,fda416,fda477
0.7614961266517639,0.7614961266517639,4,5.0,fda461,fda477
0.7636758089065552,0.7636758089065552,6,5.0,fda470,fda479
0.7710313200950623,0.7710313200950623,3,5.0,fda470,fda482
0.7725064158439636,0.7725064158439636,5,0.0,fda480,p1_006645961966
0.7726371884346008,0.7726371884346008,4,5.0,fda474,fda477
0.7746650576591492,0.7746650576591492,4,5.0,fda420,fda477
0.7751064896583557,0.7751064896583557,3,5.0,fda474,fda482
0.776256263256073,0.776256263256073,4,0.0,fda477,p1_005152967568
0.785381019115448,0.785381019115448,4,5.0,fda435,fda477
0.7857570052146912,0.7857570052146912,3,5.0,fda459,fda482
0.7885785698890686,0.7885785698890686,4,5.0,fda459,fda474
0.7903661727905273,0.7903661727905273,4,0.0,fda477,p1_Z3839066866
0.7909217476844788,0.7909217476844788,4,5.0,fda477,fda494
0.7926796674728394,0.7926796674728394,4,5.0,fda477,fda495
0.7941750288009644,0.7941750288009644,4,5.0,fda420,fda459
0.7972573041915894,0.7972573041915894,4,5.0,fda471,fda477
0.8004487156867981,0.8004487156867981,4,0.0,fda477,p1_005187765264
0.8011928796768188,0.8011928796768188,4,0.0,fda477,p1_005009898111
0.8028215169906616,0.8028215169906616,3,0.0,fda480,p1_002801168954
0.8056401014328003,0.8056401014328003,4,0.0,fda477,p1_Z3299389295
0.8056560754776001,0.8056560754776001,4,5.0,fda408,fda477
0.8117254376411438,0.8117254376411438,4,5.0,fda405,fda482
0.8119896054267883,0.8119896054267883,4,0.0,fda477,p1_Z1831707199
0.813472330570221,0.813472330570221,3,5.0,fda456,fda480
0.8176562786102295,0.8176562786102295,5,5.0,fda442,fda496
0.8216280341148376,0.8216280341148376,4,5.0,fda477,fda492
0.8231637477874756,0.8231637477874756,4,0.0,fda477,p1_Z2158046976
0.8231755495071411,0.8231755495071411,3,5.0,fda482,fda489
0.8255063891410828,0.8255063891410828,4,0.0,fda477,p1_Z4468067058
0.8283894658088684,0.8283894658088684,4,0.0,fda477,p1_004831672398
0.8285337686538696,0.8285337686538696,4,5.0,control_fda1,fda470
0.828942596912384,0.828942596912384,4,0.0,fda477,p1_Z4599149210
