RMSD_BR,RMSD_AR,#atomsAligned,Alignment_score,Ref_Ligand,Aligned_Ligand
0.0,0.0,38,5.0,control_cyc1,cyclica1
0.0,0.0,57,5.0,control_cyc2,cyclica2
0.0,0.0,57,5.0,control_cyc2,p1_108
0.0,0.0,57,5.0,cyclica2,p1_108
0.00014091165212448686,0.00014091165212448686,38,5.0,cyclica1,p1_79
0.0001434610749129206,0.0001434610749129206,38,5.0,control_cyc1,p1_79
0.004660108592361212,0.004660108592361212,2,5.0,fda215,fda289
0.011859128251671791,0.011859128251671791,2,0.0,fda215,p1_7132
0.012846007943153381,0.012846007943153381,2,0.0,fda215,p1_6831
0.013209427706897259,0.013209427706897259,2,5.0,fda215,fda239
0.03764771297574043,0.03764771297574043,3,0.0,fda210,p1_7132
0.04792327061295509,0.04792327061295509,3,5.0,fda210,fda289
0.049251582473516464,0.049251582473516464,3,0.0,fda210,p1_6831
0.05313394218683243,0.05313394218683243,2,5.0,fda215,fda234
0.05404685065150261,0.05404685065150261,2,5.0,fda215,fda237
0.05537140741944313,0.05537140741944313,3,5.0,fda210,fda237
0.05896066874265671,0.05896066874265671,3,5.0,fda210,fda234
0.06273002922534943,0.06273002922534943,3,5.0,fda215,fda290
0.0715998113155365,0.0715998113155365,3,5.0,fda215,fda229
0.09842891991138458,0.09842891991138458,3,0.0,control_fda1,p1_7132
0.10889292508363724,0.10889292508363724,3,0.0,control_fda1,p1_6831
0.11938853561878204,0.11938853561878204,4,5.0,fda211,fda237
0.13167890906333923,0.13167890906333923,4,5.0,fda211,fda234
0.13686904311180115,0.13686904311180115,3,0.0,fda221,p1_7132
0.16818708181381226,0.16818708181381226,3,0.0,fda221,p1_6831
0.1733289510011673,0.1733289510011673,3,5.0,control_fda1,fda289
0.19001086056232452,0.19001086056232452,3,5.0,control_fda1,fda237
0.19305714964866638,0.19305714964866638,3,5.0,control_fda1,fda234
0.2100292295217514,0.2100292295217514,4,0.0,fda210,p1_2027
0.21075470745563507,0.21075470745563507,3,5.0,fda221,fda289
0.21719270944595337,0.21719270944595337,4,0.0,fda211,p1_7132
0.22255989909172058,0.22255989909172058,2,5.0,fda215,fda259
0.23995237052440643,0.23995237052440643,3,5.0,control_fda1,fda259
0.24811239540576935,0.24811239540576935,3,5.0,fda210,fda259
0.30425652861595154,0.30425652861595154,4,0.0,fda211,p1_6831
0.3053656220436096,0.3053656220436096,3,5.0,fda221,fda259
0.3249007761478424,0.3249007761478424,3,5.0,control_fda1,fda239
0.36183449625968933,0.36183449625968933,4,5.0,fda221,fda237
0.3660096824169159,0.3660096824169159,3,5.0,fda221,fda239
0.3793065547943115,0.3793065547943115,4,0.0,fda221,p1_1694
0.38251805305480957,0.38251805305480957,4,5.0,fda218,fda221
0.3923082947731018,0.3923082947731018,4,0.0,control_fda1,p1_2027
0.3976515233516693,0.3976515233516693,4,0.0,fda221,p1_859
0.41358956694602966,0.41358956694602966,4,0.0,fda221,p1_4464
0.4164454936981201,0.4164454936981201,3,5.0,fda210,fda239
0.46597427129745483,0.46597427129745483,4,0.0,fda221,p1_2058
0.4740607440471649,0.4740607440471649,4,5.0,fda211,fda239
0.4818855822086334,0.4818855822086334,3,5.0,fda221,fda245
0.5244295001029968,0.5244295001029968,2,5.0,fda215,fda245
0.5244725942611694,0.5244725942611694,3,5.0,control_fda1,fda245
0.5397288799285889,0.5397288799285889,4,5.0,fda205,fda221
0.545750081539154,0.545750081539154,4,5.0,fda210,fda240
0.546672523021698,0.546672523021698,4,5.0,fda221,fda296
0.5466832518577576,0.5466832518577576,4,5.0,fda210,fda221
0.5575965642929077,0.5575965642929077,3,5.0,fda215,fda255
0.5656437277793884,0.5656437277793884,4,5.0,fda221,fda268
0.574213445186615,0.574213445186615,4,5.0,fda205,fda210
0.6150254607200623,0.6150254607200623,4,5.0,fda210,fda250
0.6189565062522888,0.6189565062522888,4,5.0,fda221,fda267
0.625687301158905,0.625687301158905,4,5.0,fda221,fda225
0.6259153485298157,0.6259153485298157,4,0.0,fda210,p1_427
0.6470118165016174,0.6470118165016174,4,5.0,fda221,fda286
0.6497184634208679,0.6497184634208679,3,5.0,fda210,fda245
0.6502652764320374,0.6502652764320374,4,0.0,fda228,p1_2027
0.6597568392753601,0.6597568392753601,4,5.0,fda202,fda221
0.6613609194755554,0.6613609194755554,3,5.0,fda215,fda296
0.6713557839393616,0.6713557839393616,4,5.0,fda221,fda235
0.6748925447463989,0.6748925447463989,3,5.0,fda215,fda221
0.6751548051834106,0.6751548051834106,4,5.0,control_fda1,fda231
0.6815965175628662,0.6815965175628662,4,5.0,fda221,fda280
0.6855263113975525,0.6855263113975525,4,5.0,fda221,fda269
0.6857996582984924,0.6857996582984924,3,0.0,fda215,p1_427
0.6955946683883667,0.6955946683883667,4,0.0,fda221,p1_4457
0.6963168978691101,0.6963168978691101,3,5.0,fda215,fda240
0.7054792046546936,0.7054792046546936,4,5.0,fda210,fda231
0.7155838012695312,0.7155838012695312,4,5.0,fda221,fda292
0.7251168489456177,0.7251168489456177,3,5.0,fda215,fda250
0.7327204942703247,0.7327204942703247,5,5.0,fda211,fda231
0.7332470417022705,0.7332470417022705,4,5.0,fda211,fda289
0.7340330481529236,0.7340330481529236,4,0.0,fda221,p1_2027
0.7350074052810669,0.7350074052810669,4,0.0,fda221,p1_3489
0.7365333437919617,0.7365333437919617,5,5.0,fda210,fda228
0.7399928569793701,0.7399928569793701,3,0.0,fda215,p1_2027
0.7503907084465027,0.7503907084465027,4,5.0,fda210,fda229
0.7534931302070618,0.7534931302070618,5,5.0,fda211,fda240
0.7555329203605652,0.7555329203605652,4,5.0,fda211,fda259
0.7578492164611816,0.7578492164611816,4,0.0,fda221,p1_7849
0.7589637041091919,0.7589637041091919,4,5.0,control_fda1,fda205
0.7648900151252747,0.7648900151252747,6,5.0,fda229,fda292
0.7667869329452515,0.7667869329452515,9,5.0,fda230,fda248
0.7679785490036011,0.7679785490036011,4,5.0,fda221,fda272
0.7689893245697021,0.7689893245697021,4,5.0,fda210,fda255
0.7788897156715393,0.7788897156715393,4,5.0,control_fda1,fda250
0.7868818044662476,0.7868818044662476,4,0.0,fda221,p1_4063
0.7914461493492126,0.7914461493492126,3,5.0,fda215,fda231
0.8007574677467346,0.8007574677467346,4,5.0,fda221,fda273
0.811451256275177,0.811451256275177,4,5.0,fda221,fda291
0.8128038644790649,0.8128038644790649,4,5.0,fda205,fda228
0.8154487609863281,0.8154487609863281,4,5.0,control_fda1,fda296
0.8170066475868225,0.8170066475868225,4,0.0,fda221,p1_727
0.8184230327606201,0.8184230327606201,5,5.0,fda215,fda226
0.821401059627533,0.821401059627533,4,5.0,fda221,fda228
0.8301173448562622,0.8301173448562622,4,5.0,fda221,fda294
0.8344929814338684,0.8344929814338684,4,5.0,control_fda1,fda229
0.8361116051673889,0.8361116051673889,4,0.0,control_fda1,p1_427
0.8366822600364685,0.8366822600364685,4,5.0,fda215,fda228
0.8404158353805542,0.8404158353805542,4,5.0,fda221,fda243
0.8494104743003845,0.8494104743003845,4,5.0,control_fda1,fda240
0.8509871959686279,0.8509871959686279,4,5.0,fda221,fda242
0.8542028665542603,0.8542028665542603,4,5.0,fda221,fda254
0.8549553155899048,0.8549553155899048,4,5.0,fda210,fda296
0.8599849343299866,0.8599849343299866,4,0.0,fda221,p1_427
0.862658679485321,0.862658679485321,4,5.0,fda201,fda221
0.8635854125022888,0.8635854125022888,4,5.0,fda210,fda290
0.8642107248306274,0.8642107248306274,6,5.0,control_fda1,fda210
0.868570864200592,0.868570864200592,4,0.0,fda221,p1_6409
0.8731380105018616,0.8731380105018616,4,5.0,fda213,fda221
0.8745744228363037,0.8745744228363037,3,0.0,fda215,p1_3976
0.8746417760848999,0.8746417760848999,4,5.0,control_fda1,fda221
0.8750272989273071,0.8750272989273071,4,0.0,fda221,p1_7545
0.8770946264266968,0.8770946264266968,5,5.0,fda210,fda235
0.8808502554893494,0.8808502554893494,4,0.0,fda221,p1_1881
0.8826500773429871,0.8826500773429871,5,5.0,fda228,fda259
0.886407732963562,0.886407732963562,4,5.0,fda217,fda221
0.8918142318725586,0.8918142318725586,4,5.0,fda211,fda245
0.8919293880462646,0.8919293880462646,4,0.0,fda221,p1_108
0.8919294476509094,0.8919294476509094,4,0.0,cyclica2,fda221
0.8919304013252258,0.8919304013252258,4,0.0,control_cyc2,fda221
0.8934829235076904,0.8934829235076904,3,5.0,fda205,fda215
0.8999974727630615,0.8999974727630615,4,0.0,fda221,p1_610
0.9023861289024353,0.9023861289024353,4,0.0,fda221,p1_783
0.9026436805725098,0.9026436805725098,5,5.0,fda211,fda229
0.9031326770782471,0.9031326770782471,4,5.0,fda207,fda221
0.9042064547538757,0.9042064547538757,4,5.0,fda221,fda271
0.9114084243774414,0.9114084243774414,4,0.0,fda221,p1_1390
0.9205762147903442,0.9205762147903442,4,0.0,fda221,p1_6276
0.9210380911827087,0.9210380911827087,4,0.0,fda221,p1_6358
0.929052472114563,0.929052472114563,5,5.0,control_fda1,fda235
0.9339849352836609,0.9339849352836609,4,0.0,fda221,p1_7326
0.9378625154495239,0.9378625154495239,4,5.0,fda209,fda221
0.9381585121154785,0.9381585121154785,4,5.0,fda221,fda232
0.9395723938941956,0.9395723938941956,4,5.0,fda216,fda221
0.9451403021812439,0.9451403021812439,5,5.0,fda215,fda287
0.9471533894538879,0.9471533894538879,4,0.0,fda221,p1_6442
0.9497734904289246,0.9497734904289246,4,5.0,fda221,fda276
0.9526625871658325,0.9526625871658325,5,5.0,fda215,fda222
0.9550060033798218,0.9550060033798218,4,5.0,fda221,fda240
0.9553676843643188,0.9553676843643188,5,5.0,fda205,fda211
0.9571350812911987,0.9571350812911987,4,5.0,fda221,fda299
0.9616718292236328,0.9616718292236328,4,0.0,fda221,p1_1061
0.9632202982902527,0.9632202982902527,4,5.0,fda221,fda287
0.9668765664100647,0.9668765664100647,5,5.0,fda210,fda268
0.971678614616394,0.971678614616394,5,5.0,control_fda1,fda228
0.9843745231628418,0.9843745231628418,4,5.0,fda221,fda253
0.9846252202987671,0.9846252202987671,5,5.0,fda211,fda250
0.9895581603050232,0.9895581603050232,4,5.0,fda220,fda221
0.9918597340583801,0.9918597340583801,5,0.0,fda211,p1_2027
0.9933428764343262,0.9933428764343262,4,0.0,fda221,p1_7300
0.9949232339859009,0.9949232339859009,5,5.0,fda201,fda210
0.9957993626594543,0.9957993626594543,4,0.0,fda221,p1_6455
1.007594108581543,1.007594108581543,4,0.0,fda221,p1_7643
1.0112934112548828,1.0112934112548828,5,0.0,fda210,p1_6276
1.0119634866714478,1.0119634866714478,5,0.0,fda211,p1_427
1.0140262842178345,1.0140262842178345,4,5.0,fda221,fda265
1.0157198905944824,1.0157198905944824,4,5.0,fda221,fda295
1.020650029182434,1.020650029182434,4,5.0,fda221,fda298
1.0237563848495483,1.0237563848495483,12,0.0,fda250,p1_6442
1.02845299243927,1.02845299243927,5,5.0,fda211,fda255
1.0311660766601562,1.0311660766601562,4,5.0,fda221,fda241
1.0375926494598389,1.0375926494598389,4,5.0,fda221,fda275
1.0392025709152222,1.0392025709152222,5,5.0,fda228,fda255
1.0413494110107422,1.0413494110107422,5,5.0,fda228,fda250
1.0465564727783203,1.0465564727783203,4,5.0,fda221,fda236
1.05288827419281,1.05288827419281,4,5.0,fda221,fda229
1.0533580780029297,1.0533580780029297,4,5.0,fda221,fda293
1.0570597648620605,1.0570597648620605,5,5.0,fda201,fda228
1.0597951412200928,1.0597951412200928,4,5.0,fda221,fda250
1.0763343572616577,1.0763343572616577,5,0.0,fda210,p1_1881
1.0813840627670288,1.0813840627670288,4,5.0,fda221,fda252
1.086504340171814,1.086504340171814,5,0.0,fda215,p1_4457
1.0895414352416992,1.0895414352416992,4,5.0,fda221,fda231
1.092160940170288,1.092160940170288,6,5.0,fda218,fda228
1.0955699682235718,1.0955699682235718,4,5.0,control_fda1,fda206
